sigprofiler	None_frobenius	None_kullback-leibler	None_itakura-saito	random_frobenius	random_kullback-leibler	random_itakura-saito	nndsvd_frobenius	nndsvd_kullback-leibler	nndsvd_itakura-saito	nndsvda_frobenius	nndsvda_kullback-leibler	nndsvda_itakura-saito	nndsvdar_frobenius	nndsvdar_kullback-leibler	nndsvdar_itakura-saito
['SBS5']	['SBS5']	['SBS5']	['SBS17b']	['SBS5']	['SBS5']	['SBS28']	['SBS5']	['SBS5']	['SBS5']	['SBS5']	['SBS5']	['SBS5', 'SBS17b']	['SBS5']	['SBS5']	['SBS5']
['SBS5']	['SBS17b', 'SBS25']	['SBS39', 'SBS51']	['SBS5']	['SBS17b']	['SBS5', 'SBS17a']	['SBS7d', 'SBS59']	['SBS17b', 'SBS22']	['SBS17b', 'SBS35']	['SBS1', 'SBS3', 'SBS5']	['SBS17b', 'SBS35']	['SBS39', 'SBS51']	['SBS5']	['SBS17b', 'SBS22']	['SBS17b', 'SBS25']	['SBS1', 'SBS3']
['SBS17b']	['SBS5']	['SBS5', 'SBS17b']	['SBS35']	['SBS5']	['SBS13', 'SBS21', 'SBS60', 'SBS91']	['SBS54']	['SBS1', 'SBS5', 'SBS51']	['SBS1', 'SBS5', 'SBS39', 'SBS51']	['SBS1', 'SBS5', 'SBS51']	['SBS5', 'SBS17b']	['SBS5', 'SBS17b']	['SBS35']	['SBS1', 'SBS5', 'SBS51', 'SBS86']	['SBS5', 'SBS51', 'SBS86']	['SBS5']
['SBS5']	['SBS5', 'SBS86']	['SBS1', 'SBS32']	['SBS1', 'SBS5', 'SBS39']	['SBS17b', 'SBS22']	['SBS17b']	['SBS86']	['SBS5', 'SBS17b']	['SBS5', 'SBS17b']	['SBS5', 'SBS17b']	['SBS5', 'SBS86']	['SBS5', 'SBS32', 'SBS34']	['SBS1', 'SBS5', 'SBS39', 'SBS84']	['SBS5', 'SBS17b']	['SBS5']	['SBS5', 'SBS17b']
['SBS35']	['SBS7c']	['SBS7c']	['SBS39']	['SBS7c']	['SBS5', 'SBS43']	['SBS5']	['SBS7c']	['SBS1', 'SBS7c']	['SBS7c']	['SBS39']	['SBS7c']	['SBS5']	['SBS7c']	['SBS7c']	['SBS7c', 'SBS28', 'SBS58']
['SBS5']	['SBS5']	['SBS5', 'SBS39']	['SBS7c']	['SBS5', 'SBS17a']	['SBS39']	['SBS7c']	['SBS1', 'SBS26']	['SBS54', 'SBS87']	['SBS87']	['SBS17b']	['SBS39']	['SBS7c']	['SBS1', 'SBS5', 'SBS54']	['SBS5', 'SBS87']	['SBS54', 'SBS87']
['SBS27']	['SBS5', 'SBS28']	['SBS1', 'SBS5']	['SBS32']	['SBS5']	['SBS5']	['SBS22', 'SBS57']	['SBS25']	['SBS39']	['SBS39']	['SBS7c']	['SBS5', 'SBS34']	['SBS1', 'SBS5', 'SBS32']	['SBS5']	['SBS39']	['SBS5']
['SBS5', 'SBS13']	['SBS54', 'SBS87']	['SBS1', 'SBS5', 'SBS17a']	['SBS5', 'SBS87']	['SBS1', 'SBS5', 'SBS21']	['SBS54', 'SBS87']	['SBS1', 'SBS51', 'SBS52']	['SBS10a', 'SBS17b']	['SBS10a', 'SBS17b']	['SBS10a']	['SBS5', 'SBS87']	['SBS1', 'SBS46']	['SBS1', 'SBS31']	['SBS10a', 'SBS17b']	['SBS5', 'SBS10a']	['SBS1', 'SBS17b']
['SBS5']	['SBS5', 'SBS10a', 'SBS59']	['SBS57']	['SBS39']	['SBS5']	['SBS5']	['SBS1', 'SBS33', 'SBS49']	['SBS33', 'SBS57']	['SBS33', 'SBS57']	['SBS33']	['SBS10c', 'SBS17b', 'SBS59']	['SBS5', 'SBS57']	['SBS5']	['SBS33', 'SBS57']	['SBS33', 'SBS57']	['SBS33']
['SBS31']	['SBS13']	['SBS1', 'SBS5']	['SBS5', 'SBS17b', 'SBS59']	['SBS5']	['SBS5', 'SBS22']	['SBS24']	['SBS5']	['SBS5', 'SBS22']	['SBS5']	['SBS1', 'SBS5']	['SBS1', 'SBS5']	['SBS1', 'SBS5', 'SBS39']	['SBS5']	['SBS5']	['SBS5']
